tacticam_track_id,broadcast_track_id,cosine_similarity
1,13,0.8627
2,11,0.7817
3,13,0.7933
4,8,0.7588
5,12,0.7782
6,16,0.7569
7,11,0.824
8,19,0.7339
9,8,0.7759
10,11,0.778
11,18,0.7787
12,16,0.7798
13,14,0.7588
14,12,0.7659
15,12,0.7427
16,16,0.738
17,16,0.7893
18,11,0.8202
19,11,0.7839
20,9,0.7449
21,9,0.7534
1,13,0.8568
2,11,0.8056
3,16,0.8101
4,8,0.8035
5,11,0.7798
6,16,0.8154
7,11,0.822
8,19,0.731
9,8,0.7594
10,18,0.778
11,19,0.7975
12,16,0.8258
13,14,0.7478
14,12,0.7782
15,15,0.7941
16,8,0.7809
17,8,0.7683
18,11,0.8128
19,18,0.7615
20,11,0.8111
21,16,0.8356
22,14,0.7362
1,13,0.8231
2,11,0.8264
3,15,0.8094
4,16,0.8006
5,11,0.779
6,16,0.8454
7,11,0.8201
8,12,0.7681
9,15,0.7632
10,18,0.7754
11,19,0.8146
12,16,0.8025
13,14,0.7931
14,12,0.7929
15,15,0.7902
16,16,0.809
17,8,0.7612
18,11,0.8316
19,12,0.7955
20,12,0.7719
21,16,0.7609
22,14,0.7164
1,13,0.8208
2,18,0.8309
3,13,0.854
4,16,0.8242
5,18,0.7798
6,15,0.7891
7,11,0.817
8,12,0.7385
9,16,0.7732
10,12,0.7954
11,9,0.811
12,16,0.8383
13,26,0.7617
14,18,0.7936
15,16,0.7982
16,8,0.8059
17,8,0.8157
18,11,0.8245
19,18,0.7657
20,11,0.768
21,16,0.8277
22,14,0.7096
1,13,0.8204
2,11,0.7968
3,8,0.8487
4,8,0.7862
5,12,0.8355
6,16,0.8423
7,11,0.8185
8,12,0.7598
9,8,0.7747
10,18,0.826
11,18,0.8151
12,16,0.863
13,26,0.7837
14,12,0.8197
15,16,0.8138
16,16,0.806
17,8,0.8433
18,11,0.8133
19,9,0.7586
20,9,0.7815
21,16,0.805
22,15,0.684
1,13,0.8262
2,11,0.8462
3,8,0.8258
4,8,0.7913
5,12,0.7981
6,15,0.8206
7,12,0.8277
8,12,0.792
9,8,0.8048
10,18,0.8252
11,18,0.8288
12,16,0.7949
13,14,0.7738
14,12,0.8121
15,16,0.806
16,16,0.8275
17,8,0.8087
18,11,0.8189
19,9,0.7798
20,9,0.7694
21,15,0.8157
22,18,0.7097
1,16,0.809
2,11,0.8605
3,15,0.8474
4,8,0.7966
5,12,0.8532
6,15,0.8235
7,11,0.8462
8,12,0.8386
9,8,0.8123
10,9,0.8025
11,18,0.8474
12,15,0.8206
13,14,0.7829
14,12,0.8295
15,15,0.7875
16,16,0.7751
17,8,0.8544
18,18,0.8205
19,12,0.7962
20,11,0.7774
21,16,0.7391
22,12,0.6667
1,13,0.8058
2,11,0.8641
3,15,0.8294
4,8,0.7706
5,12,0.8383
6,16,0.8171
7,11,0.8412
8,12,0.7796
9,8,0.7999
10,18,0.7979
11,19,0.8261
12,15,0.8122
13,26,0.7899
