tacticam_track_id,broadcast_track_id,combined_similarity,visual_similarity,spatial_temporal_similarity
1,13,0.8773,0.9011,0.8219
2,85,0.7417,0.7981,0.61
3,15,0.9196,0.9391,0.8743
5,18,0.8865,0.9117,0.8276
6,47,0.8462,0.9139,0.6881
7,12,0.9502,0.947,0.9575
8,71,0.7775,0.8242,0.6685
9,10,0.8827,0.9265,0.7805
10,19,0.9328,0.947,0.8997
12,16,0.8783,0.9209,0.7787
13,26,0.7514,0.8979,0.4098
14,9,0.9039,0.9071,0.8963
15,17,0.7839,0.826,0.6855
18,11,0.9285,0.9273,0.9315
21,8,0.8753,0.8968,0.8252
22,51,0.7318,0.8835,0.3779
34,14,0.8803,0.896,0.8435
36,21,0.9258,0.9414,0.8893
42,31,0.801,0.8545,0.6762
43,76,0.9009,0.865,0.9848
47,65,0.8548,0.866,0.8288
48,86,0.7044,0.7722,0.546
49,77,0.7781,0.7029,0.9536
51,64,0.8927,0.8708,0.9437
