frame,track_id,x1,y1,x2,y2
2,1,310,526,362,591
2,2,1714,320,1746,383
2,3,1131,480,1172,543
2,4,928,201,964,247
2,5,894,576,932,639
2,6,1132,346,1168,405
2,7,1662,462,1699,524
2,8,1300,810,1331,889
2,9,364,376,395,432
2,10,337,800,374,877
2,11,289,444,316,511
2,12,733,347,769,402
2,13,770,395,800,455
2,14,937,268,960,326
2,15,1020,145,1046,194
2,16,841,240,883,291
2,17,444,208,481,265
2,18,1472,224,1504,273
2,19,560,94,587,142
2,20,884,149,917,195
2,21,899,157,933,205
3,1,302,525,354,590
3,2,1715,321,1747,383
3,3,1130,482,1169,543
3,4,926,202,961,247
3,5,891,575,930,640
3,6,1132,348,1167,405
3,7,1663,462,1699,523
3,8,1300,810,1331,889
3,9,365,374,396,430
3,10,335,798,373,874
3,11,288,441,315,510
3,12,732,348,768,402
3,13,769,397,798,454
3,14,938,267,962,327
3,15,1018,145,1044,193
3,16,837,240,878,292
3,17,442,206,481,264
3,18,1472,224,1503,272
3,19,560,93,589,142
3,20,883,149,916,196
3,21,896,157,930,203
3,22,460,74,493,118
4,1,297,525,348,589
4,2,1714,322,1747,384
4,3,1126,482,1165,543
4,4,924,201,959,248
4,5,888,574,928,638
4,6,1130,348,1165,405
4,7,1662,462,1698,523
4,8,1299,811,1330,889
4,9,363,373,395,429
4,10,332,796,369,869
4,11,289,440,316,506
4,12,728,348,764,401
4,13,767,398,797,454
4,14,938,267,962,327
4,15,1016,144,1041,192
4,16,835,240,875,290
4,17,441,206,479,262
4,18,1474,224,1505,272
4,19,561,92,589,141
4,20,880,147,914,195
4,21,896,158,930,205
4,22,458,72,492,118
5,1,295,522,347,589
5,2,1714,323,1745,384
5,3,1123,481,1161,543
5,4,922,199,958,247
5,5,883,574,923,638
5,6,1129,349,1162,405
5,7,1661,462,1697,523
5,8,1300,811,1331,889
5,9,362,372,393,425
5,10,327,794,365,867
5,11,289,439,316,503
5,12,725,348,760,401
5,13,765,398,795,455
5,14,937,266,962,327
5,15,1013,144,1039,192
5,16,834,241,873,289
5,17,438,205,477,261
5,18,1475,223,1507,273
5,19,560,92,589,141
5,20,876,146,907,190
5,21,896,157,930,205
5,22,458,71,493,118
6,1,295,519,348,587
6,2,1713,324,1744,384
6,3,1121,481,1160,543
6,4,922,197,958,245
6,5,879,574,920,638
6,6,1128,348,1161,406
6,7,1662,462,1697,523
6,8,1301,812,1333,888
6,9,360,371,392,424
6,10,320,793,358,866
6,11,287,438,314,500
6,12,722,347,758,401
6,13,761,398,790,455
6,14,938,267,964,327
6,15,1012,145,1039,193
6,16,831,240,871,291
6,17,435,204,474,261
6,18,1477,223,1509,272
6,19,558,91,588,140
6,20,870,146,901,189
6,21,896,156,930,203
6,22,459,69,496,119
7,1,295,517,348,585
7,2,1711,324,1741,384
7,3,1120,480,1159,542
7,4,921,197,957,245
7,5,875,575,917,639
7,6,1128,347,1161,404
7,7,1662,461,1698,523
7,8,1303,812,1336,889
7,9,357,371,389,422
7,10,311,792,350,866
7,11,284,437,311,499
7,12,721,345,757,400
7,13,757,397,786,455
7,14,940,267,965,327
7,15,1009,146,1036,194
7,16,827,241,868,293
7,17,430,204,470,262
7,18,1479,223,1510,272
7,19,557,90,588,140
7,20,866,147,896,190
7,21,894,156,928,204
7,22,459,68,497,119
8,1,296,515,347,581
8,2,1711,323,1741,384
8,3,1118,479,1157,542
8,4,920,197,956,245
8,5,870,576,912,640
8,6,1128,347,1161,404
8,7,1663,460,1700,523
8,8,1305,812,1339,889
