frame,track_id,x1,y1,x2,y2
7,8,1225,461,1286,553
7,9,893,575,949,669
7,10,810,560,864,662
7,11,1650,446,1711,523
7,12,1478,423,1526,506
7,13,827,616,905,723
7,14,1748,590,1786,695
7,15,1546,486,1601,580
7,16,1579,554,1638,659
7,17,1394,386,1434,454
7,18,1558,713,1636,832
7,19,612,751,669,875
8,8,1236,463,1298,557
8,9,898,577,951,667
8,10,814,564,868,666
8,11,1650,449,1713,530
8,12,1482,427,1531,512
8,13,827,616,904,725
8,14,1758,591,1796,696
8,15,1553,489,1610,586
8,16,1584,565,1638,660
8,17,1402,390,1442,458
8,18,1541,717,1620,837
8,19,616,751,672,876
9,8,1246,465,1308,559
9,9,901,577,953,665
9,10,819,569,873,670
9,11,1651,452,1713,534
9,12,1489,431,1537,515
9,13,830,614,909,727
9,14,1768,593,1808,699
9,15,1555,495,1609,588
9,16,1582,567,1638,663
9,17,1410,394,1449,461
9,18,1544,720,1626,843
9,19,615,752,672,878
9,21,15,505,47,611
10,8,1255,466,1317,560
10,9,910,578,963,668
10,10,826,571,878,668
10,11,1654,453,1716,536
10,12,1494,433,1541,518
10,13,836,614,915,729
10,14,1775,593,1817,703
10,15,1555,498,1607,590
10,16,1587,569,1645,668
10,17,1419,394,1457,462
10,18,1541,722,1625,847
10,19,617,752,674,881
10,21,29,507,61,612
11,8,1262,466,1324,560
11,9,920,575,975,671
11,10,831,571,881,665
11,11,1656,453,1717,534
11,12,1498,434,1547,519
11,13,844,611,921,724
11,14,1784,596,1827,704
11,15,1556,498,1603,581
11,16,1590,568,1649,670
11,17,1427,394,1465,463
11,18,1538,721,1623,847
11,19,621,750,677,879
11,21,44,507,76,613
12,8,1270,468,1332,561
12,9,930,572,985,671
12,10,831,570,881,663
12,11,1655,453,1716,534
12,12,1503,432,1552,519
12,13,851,610,926,719
12,14,1790,597,1833,705
12,15,1558,497,1607,584
12,16,1590,568,1649,672
12,17,1432,387,1474,463
12,18,1539,719,1625,845
12,19,628,746,685,878
12,21,59,508,91,614
13,8,1274,470,1337,563
13,9,936,570,989,664
13,10,834,569,885,662
13,11,1653,453,1716,535
13,12,1505,432,1553,518
13,13,854,607,929,718
13,14,1797,598,1841,706
13,15,1559,495,1612,587
13,16,1594,565,1654,673
13,17,1440,392,1478,463
13,18,1542,716,1629,843
13,19,635,744,690,869
13,21,73,508,106,614
14,8,1275,472,1338,565
14,9,942,567,994,661
14,10,835,569,888,664
14,11,1652,454,1713,537
14,12,1506,433,1554,519
14,13,853,605,928,719
14,14,1806,597,1850,706
14,15,1558,494,1612,586
14,16,1597,559,1662,674
14,17,1448,394,1483,461
14,18,1545,716,1631,838
14,19,639,742,693,864
14,21,88,509,121,614
15,8,1275,473,1339,565
15,9,950,565,1002,660
15,10,839,569,892,665
15,11,1652,454,1711,537
15,12,1509,434,1557,521
15,13,854,608,926,719
15,14,1813,595,1858,705
15,15,1561,494,1616,585
15,16,1603,559,1665,669
15,17,1456,394,1492,461
15,18,1543,715,1631,837
15,19,638,740,693,864
15,21,103,509,136,614
15,26,1812,595,1857,704
16,8,1277,473,1340,564
16,9,959,563,1010,660
16,10,840,568,895,665
16,11,1654,453,1714,538
16,12,1515,437,1562,523
16,13,857,613,924,719
16,14,1820,594,1865,703
16,15,1560,494,1617,589
16,16,1606,560,1668,665
16,17,1462,394,1497,463
16,18,1539,716,1627,837
16,19,639,737,694,864
16,21,118,509,152,614
16,26,1818,593,1864,702
17,8,1283,472,1338,552
17,9,969,562,1020,658
17,10,848,566,895,647
17,11,1656,453,1715,535
